2026-03-28 18:27:25,585 [INFO] GPS spoof starting -> 192.168.3.199:5000  bus_id=0  fake=(14000, 1000)  count=10
[  1/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  2/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  3/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  4/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  5/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  6/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  7/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  8/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  9/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 10/10]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000

GPS spoof finished.  Sent 10/10 packets for bus_id=0 to 192.168.3.199:5000
