2026-03-28 18:44:13,599 [INFO] GPS spoof starting -> 192.168.3.199:5000  bus_id=0  fake=(14000, 1000)  count=15
[  1/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  2/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  3/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  4/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  5/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  6/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  7/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  8/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[  9/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 10/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 11/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 12/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 13/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 14/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000
[ 15/15]  bus_id=0  pos=(14000, 1000)  -> 192.168.3.199:5000

GPS spoof finished.  Sent 15/15 packets for bus_id=0 to 192.168.3.199:5000
