time,x_m,y_m
1777724000.203,14000.000,1000.000
1777724001.203,14000.000,1000.000
1777724002.203,14000.000,1000.000
1777724003.203,14000.000,1000.000
1777724004.203,14000.000,1000.000
1777724005.203,14000.000,1000.000
1777724006.203,14000.000,1000.000
1777724007.203,14000.000,1000.000
1777724008.203,14000.000,1000.000
1777724009.203,14000.000,1000.000
1777724010.203,14000.000,1000.000
1777724011.203,7500.000,2487.400
1777724012.203,7500.000,2498.500
1777724013.203,7500.000,2509.600
1777724014.203,7500.000,2520.700
1777724015.203,7500.000,2531.800
1777724016.203,7500.000,2542.900
1777724017.203,7500.000,2554.000
1777724018.203,7500.000,2565.100
1777724019.203,7500.000,2576.200
1777724020.203,7500.000,2587.300
1777724021.203,7500.000,2598.400
1777724022.203,7500.000,2609.500
1777724023.203,7500.000,2620.600
1777724024.203,7500.000,2631.700
1777724025.203,7500.000,2642.800
1777724026.203,7500.000,2653.900
1777724027.203,7500.000,2665.000
1777724028.203,7500.000,2676.100
1777724029.203,7500.000,2687.200
1777724030.203,7500.000,2698.300
1777724031.203,7500.000,2709.400
1777724032.203,7500.000,2720.500
1777724033.203,7500.000,2731.600
1777724034.203,7500.000,2742.700
1777724035.203,7500.000,2753.800
1777724036.203,7500.000,2764.900
1777724037.203,7500.000,2776.000
1777724038.203,7500.000,2787.100
1777724039.203,7500.000,2798.200
1777724040.203,7500.000,2809.300
1777724041.203,7500.000,2820.400
1777724042.203,7500.000,2831.500
1777724043.203,7500.000,2842.600
1777724044.203,7500.000,2853.700
1777724045.203,7500.000,2864.800
1777724046.203,7500.000,2875.900
1777724047.203,7500.000,2887.000
1777724048.203,7500.000,2898.100
1777724049.203,7500.000,2909.200
1777724050.203,7500.000,2920.300
1777724051.203,7500.000,2931.400
1777724052.203,7500.000,2942.500
1777724053.203,7500.000,2953.600
1777724054.203,7500.000,2964.700
1777724055.203,7500.000,2975.800
1777724056.203,14000.000,1000.000
1777724057.203,14000.000,1000.000
1777724058.203,14000.000,1000.000
1777724059.203,14000.000,1000.000
