time,busId,eventType,value1,value2,detail
5.000,999,queue_status,0.000,0.000,"server_p2p_queue"
10.000,999,ddos_detect,16600000.000,0.000,"mode=any intervalRate=1.66e+07bps loss=0 maxDelay=0.0913126s"
10.000,999,queue_status,0.000,0.000,"server_p2p_queue"
15.000,999,queue_status,0.000,0.000,"server_p2p_queue"
20.000,999,queue_status,0.000,0.000,"server_p2p_queue"
25.000,999,queue_status,0.000,0.000,"server_p2p_queue"
30.000,999,queue_status,0.000,0.000,"server_p2p_queue"
35.000,999,queue_status,0.000,0.000,"server_p2p_queue"
40.000,999,queue_status,0.000,0.000,"server_p2p_queue"
45.000,999,queue_status,0.000,0.000,"server_p2p_queue"
50.000,999,queue_status,0.000,0.000,"server_p2p_queue"
55.000,999,queue_status,0.000,0.000,"server_p2p_queue"
60.000,999,queue_status,0.000,0.000,"server_p2p_queue"
65.000,999,queue_status,0.000,0.000,"server_p2p_queue"
70.000,999,queue_status,0.000,0.000,"server_p2p_queue"
75.000,999,queue_status,0.000,0.000,"server_p2p_queue"
80.000,999,queue_status,0.000,0.000,"server_p2p_queue"
85.000,999,queue_status,0.000,0.000,"server_p2p_queue"
90.000,999,queue_status,0.000,0.000,"server_p2p_queue"
95.000,999,queue_status,0.000,0.000,"server_p2p_queue"
100.000,999,queue_status,0.000,0.000,"server_p2p_queue"
105.000,999,queue_status,0.000,0.000,"server_p2p_queue"
110.000,999,queue_status,0.000,0.000,"server_p2p_queue"
115.000,999,queue_status,0.000,0.000,"server_p2p_queue"
120.000,999,queue_status,0.000,0.000,"server_p2p_queue"
125.000,999,queue_status,0.000,0.000,"server_p2p_queue"
130.000,999,queue_status,0.000,0.000,"server_p2p_queue"
135.000,999,queue_status,0.000,0.000,"server_p2p_queue"
140.000,999,queue_status,0.000,0.000,"server_p2p_queue"
145.000,999,queue_status,0.000,0.000,"server_p2p_queue"
150.000,999,queue_status,0.000,0.000,"server_p2p_queue"
155.000,999,queue_status,0.000,0.000,"server_p2p_queue"
160.000,999,queue_status,0.000,0.000,"server_p2p_queue"
165.000,999,queue_status,0.000,0.000,"server_p2p_queue"
170.000,999,queue_status,0.000,0.000,"server_p2p_queue"
175.000,999,queue_status,0.000,0.000,"server_p2p_queue"
180.000,999,queue_status,0.000,0.000,"server_p2p_queue"
185.000,999,queue_status,0.000,0.000,"server_p2p_queue"
190.000,999,queue_status,0.000,0.000,"server_p2p_queue"
195.000,999,queue_status,0.000,0.000,"server_p2p_queue"
200.000,999,queue_status,0.000,0.000,"server_p2p_queue"
205.000,999,queue_status,0.000,0.000,"server_p2p_queue"
210.000,999,queue_status,0.000,0.000,"server_p2p_queue"
215.000,999,queue_status,0.000,0.000,"server_p2p_queue"
220.000,999,queue_status,0.000,0.000,"server_p2p_queue"
225.000,999,queue_status,0.000,0.000,"server_p2p_queue"
230.000,999,queue_status,0.000,0.000,"server_p2p_queue"
235.000,999,queue_status,0.000,0.000,"server_p2p_queue"
240.000,999,queue_status,0.000,0.000,"server_p2p_queue"
245.000,999,queue_status,0.000,0.000,"server_p2p_queue"
250.000,999,queue_status,0.000,0.000,"server_p2p_queue"
255.000,999,queue_status,0.000,0.000,"server_p2p_queue"
260.000,999,queue_status,0.000,0.000,"server_p2p_queue"
265.000,999,queue_status,0.000,0.000,"server_p2p_queue"
270.000,999,queue_status,0.000,0.000,"server_p2p_queue"
275.000,999,queue_status,0.000,0.000,"server_p2p_queue"
280.000,999,queue_status,0.000,0.000,"server_p2p_queue"
285.000,999,queue_status,0.000,0.000,"server_p2p_queue"
290.000,999,queue_status,0.000,0.000,"server_p2p_queue"
295.000,999,queue_status,0.000,0.000,"server_p2p_queue"
